id,host_id,property_id,lat_long_id
2818,3159,P1,L1
20168,59484,P2,L2
25428,56142,P3,L3
27886,97647,P4,L4
28871,124245,P5,L5
29051,124245,P6,L6
41125,178515,P7,L7
43109,188098,P8,L8
43980,65041,P9,L9
46386,207342,P10,L10
49552,225987,P11,L11
49790,227530,P12,L12
50515,231864,P13,L13
50523,231946,P14,L14
52490,185836,P15,L15
53671,247822,P16,L16
55621,262846,P17,L17
55807,263844,P18,L18
55868,264178,P19,L19
58211,null,P20,L20
62015,301340,P21,L21
62801,306117,P22,L22
64736,306192,P23,L23
67841,335166,P24,L24
68290,336950,P25,L25
68873,336950,P26,L26
70598,339333,P27,L27
75382,399879,P28,L28
75444,399879,P29,L29
75499,400896,P30,L30
76459,400896,P31,L31
76668,409579,P32,L32
80635,436145,P33,L33
82482,186729,P34,L34
82748,450453,P35,L35
84057,459028,P36,L36
85008,65041,P37,L37
91535,494281,P38,L38
97221,195859,P39,L39
97476,485930,P40,L40
107195,249794,P41,L41
108890,null,P42,L42
110246,567065,P43,L43
130390,642044,P44,L44
141708,689016,P45,L45
148132,715549,P46,L46
150634,725727,P47,L47
155548,748161,P48,L48
162467,776296,P49,L49
165833,790547,P50,L50
168769,436145,P51,L51
169356,806976,P52,L52
170223,811403,P53,L53
171054,815989,P54,L54
171498,818319,P55,L55
171631,818479,P56,L56
174592,3159,P57,L57
175989,null,P58,L58
179528,856540,P59,L59
182839,876866,P60,L60
189754,915591,P61,L61
190943,922787,P62,L62
193038,935742,P63,L63
198307,967796,P64,L64
199844,976652,P65,L65
203658,999036,P66,L66
205759,1011967,P67,L67
211408,1090600,P68,L68
212050,887591,P69,L69
213721,599238,P70,L70
214531,1107389,P71,L71
219276,1135329,P72,L72
222516,1155595,P73,L73
230710,1205924,P74,L74
245927,1005087,P75,L75
247805,1298735,P76,L76
250751,1314658,P77,L77
251444,1318753,P78,L78
252080,1322517,P79,L79
254104,1334704,P80,L80
254800,1337537,P81,L81
255809,1344947,P82,L82
256670,1350388,P83,L83
258273,1205924,P84,L84
262394,1376607,P85,L85
265349,1391689,P86,L86
272597,1426693,P87,L87
274688,1435990,P88,L88
277011,1446698,P89,L89
282269,1471195,P90,L90
283170,1451657,P91,L91
286374,1173052,P92,L92
286500,1491565,P93,L93
290701,1491565,P94,L94
291637,1247363,P95,L95
291752,1511330,P96,L96
293337,1493495,P97,L97
293514,1518360,P98,L98
301220,1550321,P99,L99
302426,1557454,P100,L100
