lat_long_id,latitude,longitude,neighbouhood_id
L1,52.36435,4.94358,N1
L2,52.36407,4.89393,N2
L3,52.3749,4.88487,N3
L4,52.38761,4.89188,N3
L5,52.36775,4.89092,N3
L6,52.36584,4.89111,N2
L7,52.3792,4.88432,N3
L8,52.37366,4.88808,N3
L9,52.35735,4.86158,N4
L10,52.35198,4.90746,N5
L11,52.38028,4.89089,N3
L12,52.36158,4.86101,N6
L13,52.37559,4.83857,N7
L14,52.36811,4.88262,N3
L15,52.37028,4.9392,N1
L16,52.38808,4.88515,N3
L17,52.35399,4.89756,N5
L18,52.3699,4.86271,N6
L19,52.35597,4.88512,N4
L20,52.37103,4.8847,N3
L21,52.36431,4.93122,N8
L22,52.38459,4.85463,N7
L23,52.36312,4.86653,N6
L24,52.3563,4.89343,N5
L25,52.37044,4.89461,N3
L26,52.36927,4.89525,N3
L27,52.4129,4.92224,N9
L28,52.36684,4.92756,N2
L29,52.36562,4.92864,N8
L30,52.36326,4.87738,N6
L31,52.36354,4.87743,N6
L32,52.38934,4.89089,N10
L33,52.37828,4.8944,N3
L34,52.36968,4.88122,N3
L35,52.37435,4.89287,N3
L36,52.36521,4.85136,N6
L37,52.35723,4.86202,N4
L38,52.35774,4.89647,N5
L39,52.34801,4.83639,N11
L40,52.35665,4.86363,N4
L41,52.3707,4.92172,N2
L42,52.35949,4.85827,N6
L43,52.37097,4.86109,N6
L44,52.35552,4.89186,N5
L45,52.36504,4.93779,N1
L46,52.36867,4.86478,N6
L47,52.36803,4.86716,N6
L48,52.3642,4.92829,N8
L49,52.3627,4.85693,N6
L50,52.37337,4.85948,N6
L51,52.37956,4.89359,N3
L52,52.38104,4.88306,N3
L53,52.37018,4.88209,N3
L54,52.36768,4.86646,N6
L55,52.35782,4.87742,N4
L56,52.36199,4.85371,N6
L57,52.36173,4.90996,N2
L58,52.36056,4.86655,N6
L59,52.34332,4.89484,N5
L60,52.38685,4.89932,N12
L61,52.37548,4.89398,N3
L62,52.35222,4.84789,N4
L63,52.36057,4.89671,N2
L64,52.38537,4.89292,N3
L65,52.38409,4.87582,N10
L66,52.34538,4.86809,N4
L67,52.3695,4.8658,N6
L68,52.34964,4.91851,N13
L69,52.36698,4.86622,N6
L70,52.35216,4.84659,N4
L71,52.37169,4.89446,N3
L72,52.36883,4.88749,N3
L73,52.36271,4.85875,N6
L74,52.37516,4.87842,N3
L75,52.36815,4.88604,N3
L76,52.36707,4.87348,N6
L77,52.36443,4.93265,N1
L78,52.37169,4.89807,N3
L79,52.36936,4.90963,N2
L80,52.36458,4.90832,N2
L81,52.37122,4.88211,N3
L82,52.34416,4.88709,N5
L83,52.35861,4.86023,N6
L84,52.35401,4.8918,N5
L85,52.35695,4.85234,N4
L86,52.36217,4.86158,N6
L87,52.3481,4.85648,N4
L88,52.37977,4.85574,N7
L89,52.35791,4.85944,N6
L90,52.34988,4.85248,N4
L91,52.35435,4.87316,N4
L92,52.37725,4.83307,N14
L93,52.37561,4.9,N3
L94,52.37561,4.9,N3
L95,52.35265,4.94185,N13
L96,52.35179,4.91082,N8
L97,52.38118,4.91529,N12
L98,52.38912,4.9095,N12
L99,52.37225,4.87596,N3
L100,52.38022,4.88567,N3
