review_id,no_of_reviews,last_review,reviews_per_month,host_id
R1,278,14-02-2020,1.9,3159
R2,339,04-09-2020,2.5,59484
R3,5,02-09-2020,0.13,56142
R4,219,25-07-2020,1.94,97647
R5,336,20-09-2020,2.59,124245
R6,480,28-08-2020,3.91,124245
R7,89,02-10-2020,0.7,178515
R8,59,01-02-2020,0.46,188098
R9,61,18-02-2018,0.48,65041
R10,3,01-03-2018,0.02,207342
R11,368,23-09-2020,2.89,225987
R12,103,14-05-2019,0.85,227530
R13,17,20-02-2020,0.2,231864
R14,307,10-05-2020,2.45,231946
R15,102,01-01-2020,0.8,185836
R16,309,16-03-2020,2.54,247822
R17,32,08-06-2020,0.25,262846
R18,157,15-01-2020,1.24,263844
R19,95,01-03-2020,0.76,264178
R20,126,03-08-2021,1.18,278253
R21,30,24-11-2019,0.24,301340
R22,0,null,null,306117
R23,103,08-06-2019,1.11,306192
R24,16,08-12-2019,0.17,335166
R25,659,25-10-2019,5.37,336950
R26,579,30-10-2019,4.69,336950
R27,107,08-09-2020,1.73,339333
R28,254,29-07-2020,2.11,399879
R29,324,16-03-2020,2.7,399879
R30,33,01-04-2018,0.29,400896
R31,16,09-06-2017,0.13,400896
R32,64,03-05-2020,1.1,409579
R33,218,01-01-2020,1.78,436145
R34,860,04-05-2021,7.19,186729
R35,131,01-02-2020,1.08,450453
R36,94,03-08-2020,0.79,459028
R37,11,26-06-2011,0.09,65041
R38,44,13-03-2020,0.37,494281
R39,196,24-03-2020,1.65,195859
R40,53,13-03-2020,0.44,485930
R41,37,31-12-2019,0.32,249794
R42,3,30-05-2018,0.06,563208
R43,4,20-04-2017,0.03,567065
R44,29,15-10-2017,0.25,642044
R45,86,01-02-2020,0.72,689016
R46,4,25-11-2018,0.13,715549
R47,62,14-06-2019,1.02,725727
R48,21,20-08-2019,0.18,748161
R49,56,27-09-2020,0.56,776296
R50,41,03-10-2020,0.51,790547
R51,256,31-12-2019,2.2,436145
R52,22,01-03-2020,0.19,806976
R53,63,10-12-2020,0.55,811403
R54,103,28-11-2018,0.87,815989
R55,5,03-02-2020,0.33,818319
R56,48,17-09-2019,0.41,818479
R57,139,29-09-2019,1.18,834139
R58,102,14-07-2020,0.88,58458
R59,27,18-11-2019,0.23,856540
R60,15,26-07-2012,0.14,876866
R61,186,13-09-2020,1.6,915591
R62,10,05-07-2019,0.09,922787
R63,598,20-09-2020,5.12,935742
R64,41,20-02-2020,0.35,967796
R65,42,05-02-2017,0.36,976652
R66,24,07-02-2017,0.21,999036
R67,2,27-07-2015,0.03,1011967
R68,183,01-01-2020,1.57,1090600
R69,20,08-11-2020,0.17,887591
R70,41,05-11-2019,0.35,599238
R71,168,09-08-2020,1.46,1107389
R72,10,22-02-2020,0.09,1135329
R73,135,04-08-2021,1.17,1155595
R74,16,31-08-2018,0.15,1205924
R75,104,10-11-2020,0.95,1005087
R76,343,13-01-2020,2.99,1298735
R77,102,22-10-2019,0.89,1314658
R78,13,22-06-2018,0.12,1318753
R79,11,26-10-2019,0.1,1322517
R80,81,16-12-2019,1.13,1334704
R81,49,23-02-2020,0.51,1337537
R82,90,15-08-2020,0.83,1344947
R83,7,08-06-2019,0.07,1350388
R84,8,22-10-2013,0.07,1358307
R85,113,10-07-2019,1.03,1376607
R86,22,05-02-2019,0.19,1391689
R87,6,04-08-2018,0.09,1426693
R88,43,08-10-2019,0.38,1435990
R89,20,14-11-2018,0.19,1446698
R90,3,15-09-2015,0.03,1471195
R91,109,03-08-2020,0.99,1451657
R92,1,07-08-2019,0.05,1173052
R93,280,14-09-2020,2.5,1491565
R94,324,14-09-2020,2.91,1491565
R95,8,02-12-2018,0.07,1247363
R96,209,03-12-2020,1.85,1511330
R97,25,31-05-2019,0.23,1493495
R98,5,22-09-2015,0.07,1518360
R99,83,28-02-2017,0.74,1550321
R100,14,09-10-2017,0.13,1557454
